Process Name                  PID       Username
OfficeThumbnailExtension      4728      ash_10
ImageThumbnailExtension       4729      ash_10
WebThumbnailExtension         4731      ash_10
com.apple.WebKit.GPU          4733      ash_10
QuickLookUIService            4739      ash_10
QLPreviewGenerationExtension  4744      ash_10
zsh                           4750      ash_10
BackgroundTaskManagementAgent 4777      ash_10
businessservicesd             4820      ash_10
MessagesBlastDoorService      4821      ash_10
gamecontrollerd               4823      _gamecontrollerd
gamecontrolleragentd          4824      ash_10
ThemeWidgetControlViewService 4853      ash_10
zsh                           4896      ash_10
spindump                      5016      root
Code Helper (Plugin)          5047      ash_10
pet                           5049      ash_10
Code Helper (Plugin)          5065      ash_10
zsh                           5068      ash_10
Code Helper (Plugin)          5076      ash_10
Code Helper (Plugin)          5079      ash_10
java                          5087      ash_10
feedbackd                     5258      ash_10
keybagd                       5261      root
ospredictiond                 5264      root
CommCenter                    5267      ash_10
mobileassetd                  5273      root
softwareupdated               5274      _softwareupdate
softwareupdated               5275      _softwareupdate
com.apple.Mobile              5276      root
system_installd               5277      root
installd                      5278      root
com.apple.Mobile              5279      root
triald_system                 5284      root
AssetCache                    5285      _assetcache
triald                        5286      ash_10
geodMachServiceBridge         5287      ash_10
osanalyticshelpe              5288      root
AssetCacheTether              5289      root
com.apple.geod                5290      ash_10
TrialArchivingService         5292      ash_10
com.apple.geod                5296      _cmiodalassistants
com.apple.geod                5297      root
secinitd                      5298      _cmiodalassistants
secinitd                      5299      root
com.apple.geod                5300      _locationd
cfprefsd                      5301      _cmiodalassistants
containermanager              5302      root
secinitd                      5303      _locationd
trustd                        5304      _cmiodalassistants
containermanager              5305      root
trustdFileHelper              5306      root
cfprefsd                      5307      _locationd
containermanager              5308      _cmiodalassistants
trustd                        5310      _locationd
containermanager              5311      _locationd
modelcatalogd                 5312      root
generativeexperiencesd        5313      ash_10
amsaccountsd                  5314      ash_10
amsengagementd                5315      ash_10
adid                          5316      _fpsd
FeatureAccessAgent            5317      ash_10
followupd                     5318      ash_10
ModelCatalogAgent             5319      ash_10
mapssyncd                     5320      ash_10
calaccessd                    5321      ash_10
powerexperienced              5322      root
communicationtrustd           5323      ash_10
contactsd                     5324      ash_10
CMFSyncAgent                  5325      ash_10
photolibraryd                 5326      ash_10
appstoreagent                 5327      ash_10
storagekitd                   5329      root
com.apple.AppSto              5330      root
fskitd                        5331      root
promotedcontentd              5332      ash_10
fairplaydeviceid              5333      _fpsd
mobileactivation              5334      root
com.apple.WebKit.WebContent   5335      ash_10
diskspaced                    5337      ash_10
wifip2pd                      5349      root
countryd                      5350      root
powerdatad                    5353      root
UsageTrackingAgent            5355      ash_10
mobiletimerd                  5356      ash_10
ManagedSettingsAgent          5357      ash_10
donotdisturbd                 5358      ash_10
findmylocateagent             5359      ash_10
CategoriesService             5360      ash_10
securityd_system              5366      root
extensionkitservice           5371      ash_10
AppleCredentialM              5372      root
MTLCompilerServi              5373      root
MTLCompilerServi              5374      root
spindump_agent                5376      ash_10
mlhostd                       5377      ash_10
mediaanalysisd                5378      ash_10
PlugInLibraryService          5379      ash_10
extensionkitservice           5380      ash_10
photoanalysisd                5382      ash_10
seserviced                    5400      ash_10
swtransparencyd               5405      ash_10
CloudTelemetryService         5406      ash_10
geoanalyticsd                 5559      ash_10
